"File","LineNumber","Pattern","Text"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1056","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb5.toString(), 170));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1066","fileOutPath","fileOutPathContents.add(formatUtil.padX(edsb1.toString(), 170));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","1070","fileOutPath","fileOutPathContents.add(formatUtil.padX(edsb2.toString(), 170));"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","183","\.txt","+ "".TXT""; // 來源檔在FTP的位置"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","22","\.dat","import com.bot.txcontrol.util.date.DateUtil;"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\event\app\lsnr\C012Lsnr.java","32","\.dat","import java.text.DateFormat;"
"D:\jsp\van_doc_1\c012\src\main\java\com.bot.ncl.adapter\in\svc\C012__I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","60","fileOutPath","private List<String> fileOutPathContents; // 檔案內容"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","70","fileOutPath","private String fileOutPath;"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","104","fileOutPath","fileOutPath ="
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","117","fileOutPath","textFile.deleteFile(fileOutPath);"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","222","fileOutPath","fileOutPathContents = new ArrayList<>();"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","303","fileOutPath","fileOutPathContents.add(formatUtil.padX(sb.toString(), 170));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","319","fileOutPath","fileOutPathContents.add(formatUtil.padX(se.toString(), 170));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","334","fileOutPath","textFile.writeFileContent(fileOutPath, fileOutPathContents, CHARSET5);"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","349","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb1.toString(), 78));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","371","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb2.toString(), 175));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","381","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb3.toString(), 150));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","398","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb4.toString(), 155));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","406","fileOutPath","fileOutPathContents.add(formatUtil.padX(hdsb5.toString(), 170));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","416","fileOutPath","fileOutPathContents.add(formatUtil.padX(edsb1.toString(), 170));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","420","fileOutPath","fileOutPathContents.add(formatUtil.padX(edsb2.toString(), 170));"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0121Lsnr.java","25","\.dat","import java.text.DateFormat;"
"D:\jsp\van_doc_1\c0121\src\main\java\com\bot\ncl\adapter\in\svc\C0121_I.java","7","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","43","FILE_NAME","private static final String FILE_NAME = ""CL-BH-C015-3"";"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","138","FILE_NAME","outputFilePath = fileDir + FILE_NAME;"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","94","outputFile","private String outputFilePath;"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","114","outputFile","textFile.writeFileContent(outputFilePath, fileC0153Contents, CHARSET);"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","138","outputFile","outputFilePath = fileDir + FILE_NAME;"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C0153Lsnr.java","141","outputFile","textFile.deleteFile(outputFilePath);"
"D:\jsp\van_doc_1\c0153\src\main\java\com\bot\ncl\adapter\in\svc\C0153_I.java","11","\.dat","import lombok.Data;"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","51","fileOutPath","private List<String> fileOutPathContents; // 檔案內容"
"D:\jsp\van_doc_1\c016\src\main\java\com\bot\ncl\adapter\event\app\lsnr\C016Lsnr.java","56","fileOutPath","private String fileOutPath;"
